"form.nr";"name";"start.age";"end.age";"mean.age"
1;"Nukumaru Limestone";2.291;2.088;2.1895
2;"Nukumaru Brown Sand";2.017;1.915;1.966
3;"Lower Kai-iwi Shellbed";0.936;0.917;0.9265
4;"Upper Westmere Shellbed";0.775;0.761;0.768
5;"Upper Kai-iwi Shellbed";0.676;0.621;0.6485
6;"Lower Castlecliff Shellbed";0.563;0.533;0.548
7;"Tainui Shellbed";0.533;0.478;0.5055
8;"Shakespeare Cliff Basal Sand Shellbed";0.478;0.424;0.451
9;"Upper Castlecliff Shellbed";0.424;0.374;0.399
10;"Landguard Formation";0.337;0.3;0.3185
