"Antarctothoa_tongima";"Arachnopusia_unicornis";"Escharoides_excavata";"Microporella_aff_speculum";"Microporella_agonistes";"Microporella_discors";"Microporella_intermedia";"Microporella_rusti";"Microporella_speculum";"Steginoporella_magnifica";"Superspecies"
"Nukumaru Limestone";1;1;1;0;1;1;1;1;1;1;0
"Nukumaru Brown Sand";1;1;1;0;1;1;0;1;1;1;0
"Lower Kai-iwi Shellbed";1;0;0;0;1;1;0;0;0;0;0
"Upper Westmere Shellbed";0;0;0;0;1;0;0;0;0;0;0
"Upper Kai-iwi Shellbed";1;1;0;1;1;1;0;1;1;1;0
"Lower Castlecliff Shellbed";1;1;0;1;1;0;1;1;1;1;0
"Tainui Shellbed";1;1;0;1;1;1;1;0;1;1;0
"Shakespeare Cliff Basal Sand Shellbed";1;1;0;1;1;0;0;1;1;1;0
"Upper Castlecliff Shellbed";0;1;0;1;1;1;0;0;1;0;0
"Landguard Formation";0;0;0;0;0;0;0;0;0;0;0
