"SAMPLE_ID";"Formation_name";"form.nr";"Total";"num.with.colonies";"Species_01";"Species_02";"Species_03";"Species_04";"Species_05";"Species_06";"Species_07";"Species_08";"Species_09";"Species_10";"Species_11";"Species_12";"Species_Superspecies"
"Site_f01_s01";"F01";1;100;95;0;0;318;92;8;0;24;61;8;0;14;0;146
"Site_f01_s02";"F01";1;100;91;109;0;291;0;6;0;28;57;3;0;4;0;75
"Site_f01_s03";"F01";1;100;94;0;0;235;113;5;0;126;267;1;0;9;0;113
"Site_f01_s04";"F01";1;100;90;0;24;146;0;0;0;37;55;3;2;14;0;285
"Site_f01_s05";"F01";1;100;72;4;0;112;0;5;0;37;46;0;0;22;0;48
"Site_f01_s06";"F01";1;100;86;0;0;75;0;0;33;73;0;0;0;12;0;213
"Site_f01_s07";"F01";1;100;88;0;0;0;262;4;32;46;0;0;0;17;0;267
"Site_f01_s08";"F01";1;100;74;6;0;0;0;0;6;128;0;0;2;11;18;182
"Site_f01_s09";"F01";1;100;66;14;0;0;0;0;6;79;0;0;0;5;0;152
"Site_f01_s10";"F01";1;100;80;5;0;140;0;3;0;66;0;1;2;5;0;94
"Site_f02_s01";"F02";2;100;80;0;0;34;0;0;0;26;73;3;0;0;0;177
"Site_f02_s02";"F02";2;100;81;0;0;197;0;0;18;14;0;5;5;10;0;162
"Site_f02_s03";"F02";2;100;71;0;0;0;0;8;8;60;0;0;0;12;0;218
"Site_f02_s04";"F02";2;100;86;16;0;75;0;6;21;33;55;1;0;6;0;144
"Site_f02_s05";"F02";2;100;82;0;0;70;0;2;14;42;39;4;0;0;0;295
"Site_f02_s06";"F02";2;100;86;11;0;136;106;0;0;27;10;0;3;2;0;158
"Site_f02_s07";"F02";2;100;85;0;0;175;0;0;30;67;44;1;1;17;0;173
"Site_f02_s08";"F02";2;100;93;0;0;92;25;0;23;65;0;3;0;11;0;236
"Site_f02_s09";"F02";2;100;90;0;0;158;0;15;0;56;73;1;0;0;3;224
"Site_f02_s10";"F02";2;100;84;33;0;105;0;8;29;107;0;1;0;4;0;160
"Site_f03_s01";"F03";3;100;90;0;0;135;0;11;17;118;43;0;0;14;4;206
"Site_f03_s02";"F03";3;100;93;59;37;0;29;23;0;20;35;4;0;4;0;212
"Site_f03_s03";"F03";3;100;71;90;0;0;0;0;12;10;120;0;2;5;5;55
"Site_f03_s04";"F03";3;100;94;0;0;247;171;13;0;44;0;12;3;14;0;272
"Site_f03_s05";"F03";3;100;84;0;0;37;117;15;24;55;27;0;0;4;0;137
"Site_f03_s06";"F03";3;100;89;25;105;0;144;39;14;10;68;2;0;17;6;53
"Site_f03_s07";"F03";3;100;75;0;0;59;0;14;30;56;0;0;0;4;0;69
"Site_f03_s08";"F03";3;100;80;0;0;0;78;9;18;32;39;0;0;0;0;123
"Site_f03_s09";"F03";3;100;91;32;0;410;0;5;0;26;65;2;0;21;19;111
"Site_f03_s10";"F03";3;100;79;0;36;0;47;9;26;32;43;0;6;2;0;193
"Site_f04_s01";"F04";4;100;88;38;0;0;0;0;0;16;18;1;3;0;8;382
"Site_f04_s02";"F04";4;100;86;0;0;72;0;0;17;35;30;4;0;4;0;139
"Site_f04_s03";"F04";4;100;81;0;0;161;0;20;0;0;69;10;2;15;0;94
"Site_f04_s04";"F04";4;100;81;0;72;0;79;0;0;15;27;4;0;3;0;123
"Site_f04_s05";"F04";4;100;83;37;0;95;0;16;39;136;11;5;0;8;5;109
"Site_f04_s06";"F04";4;100;75;0;0;75;0;6;7;0;16;0;0;15;6;133
"Site_f04_s07";"F04";4;100;87;0;0;70;51;0;41;34;58;2;0;9;0;223
"Site_f04_s08";"F04";4;100;93;55;110;0;0;74;4;26;42;7;1;12;9;728
