"SAMPLE_ID";"Formation_name";"form.nr";"Total";"num.with.colonies";"Species_G01_sp01";"Species_G01_sp02";"Species_G01_sp03";"Species_G01_sp04";"Species_G02_sp05";"Species_G02_sp06";"Species_G02_sp07";"Species_G02_sp08";"Species_G03_sp09";"Species_G03_sp10";"Species_G03_sp11";"Species_G03_sp12";"Species_G04_sp13";"Species_G04_sp14";"Species_G04_sp15";"Species_G04_sp16";"Species_G05_sp17";"Species_G05_sp18";"Species_G05_sp19";"Species_G05_sp20";"Species_G06_sp21";"Species_G06_sp22";"Species_G06_sp23";"Species_G06_sp24";"Species_Superspecies";"Unidentified_G02";"Unidentified_G04";"Unidentified_G06";"Genus_G01";"Genus_G02";"Genus_G03";"Genus_G04";"Genus_G05";"Genus_G06"
"Site_f01_s01";"F01";1;100;74;29;0;11;0;0;0;2;0;54;0;28;0;0;0;9;0;0;0;9;0;0;0;0;0;117;6;1;0;40;8;82;10;9;0
"Site_f01_s02";"F01";1;100;48;0;0;26;0;0;0;2;0;0;0;7;0;0;0;13;0;0;0;3;0;0;0;0;0;14;3;0;8;26;5;7;13;3;8
"Site_f01_s03";"F01";1;100;59;0;0;0;0;0;0;13;0;0;0;23;0;0;0;0;0;0;0;1;0;0;0;1;0;23;32;0;9;0;45;23;0;1;10
"Site_f01_s04";"F01";1;100;57;0;0;19;0;0;0;0;0;21;0;15;0;0;0;8;0;0;0;12;0;0;0;0;0;57;9;1;1;19;9;36;9;12;1
"Site_f01_s05";"F01";1;100;69;0;0;0;0;0;0;0;0;0;0;4;0;0;0;18;0;0;0;11;0;0;0;2;0;122;0;3;4;0;0;4;21;11;6
"Site_f01_s06";"F01";1;100;69;15;0;15;0;0;0;2;0;0;0;14;0;0;0;15;0;0;0;10;0;1;0;0;0;68;11;2;4;30;13;14;17;10;5
"Site_f01_s07";"F01";1;100;79;0;2;15;0;0;0;19;0;0;0;39;0;0;1;19;0;0;0;0;0;0;0;5;0;72;46;2;9;17;65;39;22;0;14
"Site_f01_s08";"F01";1;100;50;0;0;19;0;0;1;2;0;0;1;10;0;0;3;8;0;0;0;4;0;0;0;2;0;36;15;0;7;19;18;11;11;4;9
"Site_f01_s09";"F01";1;100;51;0;0;0;0;0;0;2;0;0;9;4;0;23;0;22;0;5;0;1;0;0;0;0;0;23;6;9;0;0;8;13;54;6;0
"Site_f01_s10";"F01";1;100;72;18;4;35;0;5;0;7;0;0;0;3;0;0;0;0;0;5;0;16;0;0;0;1;0;83;17;0;3;57;29;3;0;21;4
"Site_f02_s01";"F02";2;100;62;66;2;0;4;0;3;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;71;6;0;1;72;10;0;2;0;3
"Site_f02_s02";"F02";2;100;64;27;11;0;3;0;0;0;0;0;0;0;0;38;0;0;0;0;0;0;0;0;0;0;0;84;0;3;0;41;0;0;41;0;0
"Site_f02_s03";"F02";2;100;49;0;2;0;0;0;5;0;0;0;5;0;1;25;0;0;2;5;0;0;2;0;1;0;0;28;9;5;1;2;14;6;32;7;2
"Site_f02_s04";"F02";2;100;54;0;1;0;1;0;0;0;0;46;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;71;2;0;0;2;2;46;0;4;0
"Site_f02_s05";"F02";2;100;56;0;14;0;0;0;0;0;0;32;1;0;0;0;0;0;0;6;0;0;3;0;0;0;0;59;0;0;0;14;0;33;0;9;0
"Site_f02_s06";"F02";2;100;35;46;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;0;0;48;3;0;0;0;0
"Site_f02_s07";"F02";2;100;63;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;166;1;0;0;1;2;1;0;0;1
"Site_f02_s08";"F02";2;100;52;0;10;0;1;0;0;0;1;0;0;0;1;15;0;0;0;0;0;0;0;0;0;0;0;90;2;3;0;11;3;1;18;0;0
"Site_f02_s09";"F02";2;100;32;0;10;0;1;0;0;0;2;0;1;0;1;0;4;0;0;0;0;0;0;0;3;0;0;34;2;1;0;11;4;2;5;0;3
"Site_f02_s10";"F02";2;100;30;0;0;0;1;0;0;0;0;0;0;0;0;0;4;0;0;0;3;0;0;0;0;0;0;48;0;0;0;1;0;0;4;3;0
"Site_f03_s01";"F03";3;100;81;87;0;17;5;17;0;12;0;0;0;9;0;0;0;0;0;0;0;5;2;5;0;0;0;167;26;0;12;109;55;9;0;7;17
"Site_f03_s02";"F03";3;100;80;0;0;50;0;0;0;0;0;44;0;32;0;65;0;14;1;0;0;0;0;0;0;0;0;48;0;24;2;50;0;76;104;0;2
"Site_f03_s03";"F03";3;100;76;0;0;33;1;6;0;21;0;0;0;0;0;33;0;4;1;0;0;10;0;0;0;0;0;118;48;15;0;34;75;0;53;10;0
"Site_f03_s04";"F03";3;100;78;116;0;15;1;0;0;0;1;66;0;6;0;26;0;21;0;20;0;0;0;0;0;5;0;35;2;8;8;132;3;72;55;20;13
"Site_f03_s05";"F03";3;100;67;0;0;0;0;0;0;7;0;54;0;0;0;4;0;8;2;0;0;0;0;0;0;0;0;33;7;2;4;0;14;54;16;0;4
"Site_f03_s06";"F03";3;100;51;0;0;19;0;0;0;7;0;0;0;6;2;0;0;0;0;0;0;6;0;4;0;1;0;47;4;0;10;19;11;8;0;6;15
"Site_f03_s07";"F03";3;100;68;0;0;9;1;0;0;6;1;25;0;20;0;0;0;0;0;32;0;0;1;0;0;0;0;101;12;0;8;10;19;45;0;33;8
"Site_f03_s08";"F03";3;100;73;0;0;12;2;0;0;15;1;0;0;14;0;36;0;2;4;18;0;0;0;0;0;0;0;122;14;4;2;14;30;14;46;18;2
"Site_f03_s09";"F03";3;100;63;0;0;14;0;0;0;3;0;59;0;4;0;0;0;2;0;0;0;5;0;0;0;2;0;111;4;0;7;14;7;63;2;5;9
"Site_f03_s10";"F03";3;100;75;0;0;18;0;70;0;5;0;17;0;8;1;0;0;13;0;19;0;3;0;0;0;3;0;51;93;1;8;18;168;26;14;22;11
"Site_f04_s01";"F04";4;100;60;0;8;30;3;0;4;13;0;0;4;0;0;0;0;0;2;0;0;0;0;0;2;0;0;41;16;1;2;41;33;4;3;0;4
"Site_f04_s02";"F04";4;100;66;0;7;42;0;0;0;5;1;0;6;4;1;0;0;0;0;0;4;4;2;0;0;0;0;51;9;0;0;49;15;11;0;10;0
