"SAMPLE_ID";"Formation_name";"form.nr";"Total";"num.with.colonies";"Species_01";"Species_02";"Species_03";"Species_04";"Species_05";"Species_06";"Species_07";"Species_08";"Species_09";"Species_10";"Species_11";"Species_12";"Species_Superspecies"
"Site_f01_s01";"F01";1;100;84;7;0;4;2;17;15;78;72;6;3;16;1;383
"Site_f01_s02";"F01";1;100;91;59;0;101;2;19;46;3;244;2;8;11;3;171
"Site_f01_s03";"F01";1;100;71;11;0;1;0;9;24;41;4;4;1;18;11;86
"Site_f01_s04";"F01";1;100;93;4;0;337;0;18;55;95;37;3;2;11;1;150
"Site_f01_s05";"F01";1;100;96;8;0;456;325;21;20;86;75;9;5;31;2;362
"Site_f01_s06";"F01";1;100;86;3;0;4;1;17;5;85;134;2;1;17;1;171
"Site_f01_s07";"F01";1;100;94;38;0;193;1;9;26;82;76;3;2;13;2;198
"Site_f01_s08";"F01";1;100;83;13;0;126;0;8;3;21;21;4;1;14;0;88
"Site_f01_s09";"F01";1;100;81;1;0;2;0;2;17;36;4;1;5;25;8;181
"Site_f01_s10";"F01";1;100;87;22;0;101;0;5;31;87;6;6;2;28;0;224
"Site_f02_s01";"F02";2;100;94;5;1;77;250;8;3;50;37;14;3;18;4;187
"Site_f02_s02";"F02";2;100;89;4;1;180;2;5;2;32;2;3;6;16;0;126
"Site_f02_s03";"F02";2;100;92;23;42;171;0;16;19;105;63;5;4;19;3;266
"Site_f02_s04";"F02";2;100;85;4;5;71;0;17;3;45;3;0;0;11;4;280
"Site_f02_s05";"F02";2;100;80;43;36;131;0;4;1;29;24;7;1;19;10;125
"Site_f02_s06";"F02";2;100;85;32;49;4;1;19;2;68;1;7;2;2;8;134
"Site_f02_s07";"F02";2;100;86;19;2;6;1;27;22;64;87;7;2;20;1;329
"Site_f02_s08";"F02";2;100;88;14;2;179;0;6;1;37;42;6;2;7;0;54
"Site_f02_s09";"F02";2;100;88;4;32;137;0;7;4;34;48;3;3;25;15;77
"Site_f02_s10";"F02";2;100;93;5;39;141;3;11;25;7;8;7;7;16;2;188
"Site_f03_s01";"F03";3;100;73;1;1;2;0;16;41;28;4;2;1;9;1;133
"Site_f03_s02";"F03";3;100;80;1;59;74;0;5;2;41;6;1;5;19;11;163
"Site_f03_s03";"F03";3;100;88;1;4;106;0;51;80;35;72;4;2;16;15;175
"Site_f03_s04";"F03";3;100;75;3;61;2;0;1;3;38;26;3;0;14;0;126
"Site_f03_s05";"F03";3;100;74;31;1;33;0;7;17;45;18;3;8;8;1;88
"Site_f03_s06";"F03";3;100;76;4;2;0;0;14;0;25;9;5;0;14;1;285
"Site_f03_s07";"F03";3;100;84;1;45;51;0;10;3;23;15;5;1;15;6;171
"Site_f03_s08";"F03";3;100;75;0;1;1;0;19;0;38;20;2;0;6;5;160
"Site_f03_s09";"F03";3;100;85;6;1;41;0;11;16;63;34;4;2;8;7;212
"Site_f03_s10";"F03";3;100;81;1;1;3;0;18;17;47;6;6;2;16;6;575
"Site_f04_s01";"F04";4;100;86;3;60;47;2;30;5;16;4;12;6;2;0;193
"Site_f04_s02";"F04";4;100;78;2;69;135;1;21;12;15;16;6;1;20;7;134
"Site_f04_s03";"F04";4;100;85;17;48;76;41;13;8;18;2;6;2;5;2;182
"Site_f04_s04";"F04";4;100;90;55;79;74;6;18;5;36;81;14;1;13;1;142
"Site_f04_s05";"F04";4;100;88;3;41;54;2;10;8;33;91;2;1;6;1;206
"Site_f04_s06";"F04";4;100;77;39;44;1;1;2;18;38;19;10;2;6;10;140
"Site_f04_s07";"F04";4;100;90;57;3;4;182;17;28;34;53;4;13;11;3;200
"Site_f04_s08";"F04";4;100;85;12;2;78;50;11;22;26;2;5;0;8;1;126
"Site_f04_s09";"F04";4;100;75;5;2;4;2;7;14;17;32;2;5;2;6;202
"Site_f04_s10";"F04";4;100;67;3;1;16;1;2;2;4;88;5;1;6;4;70
"Site_f05_s01";"F05";5;100;76;1;0;1;1;11;1;25;19;2;4;8;5;238
"Site_f05_s02";"F05";5;100;80;5;43;4;0;37;5;16;3;11;7;12;12;186
"Site_f05_s03";"F05";5;100;79;46;2;52;3;22;16;24;1;6;3;2;5;180
"Site_f05_s04";"F05";5;100;81;39;2;25;1;14;23;17;15;6;8;1;2;245
"Site_f05_s05";"F05";5;100;92;27;1;189;4;32;30;26;8;4;3;6;12;347
"Site_f05_s06";"F05";5;100;85;2;1;76;42;6;6;16;20;2;3;1;1;191
"Site_f05_s07";"F05";5;100;86;83;0;43;2;9;17;20;9;2;12;4;3;185
"Site_f05_s08";"F05";5;100;76;3;1;49;18;5;19;9;1;5;7;4;1;159
"Site_f05_s09";"F05";5;100;96;36;1;70;3;43;26;61;62;22;12;5;6;803
"Site_f05_s10";"F05";5;100;66;0;0;37;0;20;3;14;3;2;5;1;10;168
"Site_f06_s01";"F06";6;100;85;1;112;4;33;1;14;18;11;5;7;4;6;147
"Site_f06_s02";"F06";6;100;67;0;3;50;42;3;25;14;3;1;2;2;4;96
"Site_f06_s03";"F06";6;100;85;58;3;1;63;22;4;33;5;6;4;2;6;133
"Site_f06_s04";"F06";6;100;78;2;5;2;2;29;13;41;2;21;5;2;4;225
"Site_f06_s05";"F06";6;100;53;1;2;1;1;3;4;0;2;0;0;0;7;125
"Site_f06_s06";"F06";6;100;84;1;1;160;1;12;4;27;26;11;4;4;4;52
"Site_f06_s07";"F06";6;100;77;0;38;40;2;25;19;4;14;4;1;1;8;136
"Site_f06_s08";"F06";6;100;77;23;51;2;2;14;53;9;28;8;12;0;0;108
"Site_f06_s09";"F06";6;100;79;3;87;1;3;58;16;28;19;4;3;0;3;45
"Site_f06_s10";"F06";6;100;63;0;3;4;31;16;45;1;22;3;3;1;6;139
"Site_f07_s01";"F07";7;100;81;102;32;1;2;5;29;16;14;7;7;3;2;193
"Site_f07_s02";"F07";7;100;85;70;56;3;4;54;24;9;6;4;5;4;5;125
"Site_f07_s03";"F07";7;100;82;1;0;70;59;24;32;15;18;15;5;3;4;149
"Site_f07_s04";"F07";7;100;70;2;3;1;20;18;17;10;4;1;1;1;3;158
"Site_f07_s05";"F07";7;100;83;0;44;20;0;14;45;16;18;8;2;5;6;171
"Site_f07_s06";"F07";7;100;68;1;2;1;2;57;41;11;15;5;0;11;2;96
"Site_f07_s07";"F07";7;100;59;0;1;0;0;19;22;13;32;1;2;4;1;51
"Site_f07_s08";"F07";7;100;68;1;1;33;1;4;20;11;1;10;1;4;2;151
"Site_f07_s09";"F07";7;100;76;46;60;0;27;1;8;2;18;1;6;2;1;42
"Site_f07_s10";"F07";7;100;88;146;61;3;4;12;22;7;11;13;5;4;16;178
"Site_f08_s01";"F08";8;100;91;1;37;28;71;18;11;22;8;3;6;0;3;353
"Site_f08_s02";"F08";8;100;84;2;36;13;4;39;18;15;18;22;17;2;4;168
"Site_f08_s03";"F08";8;100;91;74;69;4;18;167;26;17;12;3;13;0;6;238
"Site_f08_s04";"F08";8;100;85;147;86;3;22;18;18;0;21;12;1;3;4;81
"Site_f08_s05";"F08";8;100;81;2;25;3;1;40;26;3;2;4;7;1;4;295
"Site_f08_s06";"F08";8;100;67;1;32;0;12;39;5;6;15;8;3;4;5;82
"Site_f08_s07";"F08";8;100;95;77;5;7;32;53;40;2;38;11;14;7;9;564
"Site_f08_s08";"F08";8;100;77;73;3;0;22;55;19;1;28;1;5;0;3;118
"Site_f08_s09";"F08";8;100;95;10;45;5;11;45;57;2;25;5;18;7;13;761
"Site_f08_s10";"F08";8;100;81;1;4;24;2;95;15;3;17;9;11;3;3;213
"Site_f09_s01";"F09";9;100;81;179;30;0;4;30;3;3;19;17;14;2;3;178
"Site_f09_s02";"F09";9;100;79;1;106;3;2;27;16;0;11;16;3;8;8;102
"Site_f09_s03";"F09";9;100;83;2;114;0;0;43;13;4;12;18;13;2;4;203
"Site_f09_s04";"F09";9;100;83;1;76;4;15;46;41;11;8;4;1;7;3;215
"Site_f09_s05";"F09";9;100;91;3;2;61;96;54;16;7;18;5;12;7;7;263
"Site_f09_s06";"F09";9;100;89;2;162;1;4;47;44;4;16;14;9;3;1;131
"Site_f09_s07";"F09";9;100;92;139;87;2;4;111;59;27;14;16;17;5;6;321
"Site_f09_s08";"F09";9;100;60;0;2;1;2;98;4;4;3;6;2;1;9;129
"Site_f09_s09";"F09";9;100;84;5;3;0;48;128;27;6;16;23;9;7;6;162
"Site_f09_s10";"F09";9;100;82;190;48;16;26;6;22;14;7;2;14;8;5;101
"Site_f10_s01";"F10";10;100;92;397;7;3;10;41;3;9;20;6;5;2;10;274
"Site_f10_s02";"F10";10;100;81;114;88;0;1;26;16;7;3;0;6;3;5;61
"Site_f10_s03";"F10";10;100;81;4;56;0;27;35;43;6;5;1;6;1;4;103
"Site_f10_s04";"F10";10;100;81;2;38;20;27;37;12;3;13;1;9;4;5;116
"Site_f10_s05";"F10";10;100;70;2;34;1;2;2;16;8;6;6;9;4;0;145
"Site_f10_s06";"F10";10;100;88;3;38;0;40;27;16;11;15;1;7;2;12;390
"Site_f10_s07";"F10";10;100;83;84;2;0;31;1;26;9;18;2;8;3;7;210
"Site_f10_s08";"F10";10;100;88;288;49;1;30;4;16;8;9;2;3;3;5;59
"Site_f10_s09";"F10";10;100;93;139;141;31;42;88;24;16;20;5;7;3;9;175
"Site_f10_s10";"F10";10;100;86;42;67;0;36;46;12;11;6;2;8;6;2;192
