"SAMPLE_ID";"Formation_name";"form.nr";"Total";"num.with.colonies";"Species_01";"Species_02";"Species_03";"Species_04";"Species_05";"Species_06";"Species_07";"Species_08";"Species_09";"Species_10";"Species_11";"Species_12";"Species_Superspecies"
"Site_f01_s01";"F01";1;100;86;2;0;2;0;9;11;44;35;0;1;4;0;72
"Site_f01_s02";"F01";1;100;90;33;0;48;1;7;32;1;63;0;4;4;0;60
"Site_f01_s03";"F01";1;100;74;10;0;0;0;8;19;30;0;4;0;12;9;43
"Site_f01_s04";"F01";1;100;96;5;0;81;0;8;36;54;32;1;0;0;0;57
"Site_f01_s05";"F01";1;100;98;0;0;72;60;7;2;34;34;0;0;17;1;71
"Site_f01_s06";"F01";1;100;88;0;0;0;0;15;1;47;57;0;0;12;0;66
"Site_f01_s07";"F01";1;100;95;24;0;64;0;1;15;46;45;1;0;8;0;70
"Site_f01_s08";"F01";1;100;83;10;0;57;0;2;1;12;15;0;0;11;0;49
"Site_f01_s09";"F01";1;100;83;2;0;0;0;0;15;25;0;1;4;12;7;66
"Site_f01_s10";"F01";1;100;89;11;0;55;0;3;20;34;2;3;0;17;0;66
"Site_f02_s01";"F02";2;100;94;1;1;47;68;2;1;31;23;1;0;8;0;63
"Site_f02_s02";"F02";2;100;90;1;0;72;0;3;0;20;0;0;6;8;1;57
"Site_f02_s03";"F02";2;100;93;14;31;61;0;6;14;40;30;0;1;7;0;79
"Site_f02_s04";"F02";2;100;87;0;0;37;0;9;0;27;2;0;2;9;0;71
"Site_f02_s05";"F02";2;100;81;22;21;57;0;0;1;24;15;1;0;13;10;59
"Site_f02_s06";"F02";2;100;86;25;33;0;0;16;2;37;1;0;0;0;6;58
"Site_f02_s07";"F02";2;100;87;13;0;1;0;20;13;32;39;1;0;17;0;78
"Site_f02_s08";"F02";2;100;90;11;0;70;0;1;1;19;29;4;0;1;0;37
"Site_f02_s09";"F02";2;100;86;6;19;57;0;5;0;21;28;4;0;17;12;47
"Site_f02_s10";"F02";2;100;95;0;25;56;0;9;26;1;0;1;3;11;0;73
"Site_f03_s01";"F03";3;100;75;0;0;0;0;15;23;22;1;0;0;7;0;55
"Site_f03_s02";"F03";3;100;82;1;38;34;0;1;0;24;1;0;3;10;11;68
"Site_f03_s03";"F03";3;100;90;0;0;44;0;34;40;26;41;1;0;10;8;58
"Site_f03_s04";"F03";3;100;75;0;38;0;0;0;0;24;18;4;0;13;2;50
"Site_f03_s05";"F03";3;100;76;21;0;23;0;5;15;31;17;1;5;8;1;46
"Site_f03_s06";"F03";3;100;78;1;0;0;0;10;0;15;5;0;0;7;0;68
"Site_f03_s07";"F03";3;100;85;0;32;28;0;5;0;18;11;4;0;7;5;70
"Site_f03_s08";"F03";3;100;78;0;0;0;0;14;0;31;15;0;0;4;4;61
"Site_f03_s09";"F03";3;100;86;7;0;25;0;7;13;29;29;1;0;4;0;71
"Site_f03_s10";"F03";3;100;84;0;0;0;0;6;13;19;3;2;0;5;0;83
"Site_f04_s01";"F04";4;100;87;0;30;30;1;19;3;11;1;6;7;1;0;65
"Site_f04_s02";"F04";4;100;80;2;39;47;0;14;8;10;15;6;0;18;8;48
"Site_f04_s03";"F04";4;100;87;16;37;40;30;9;4;14;0;2;0;1;0;62
"Site_f04_s04";"F04";4;100;91;34;41;43;0;13;0;19;46;6;0;7;0;54
"Site_f04_s05";"F04";4;100;90;0;28;38;0;7;1;22;44;0;0;2;0;70
"Site_f04_s06";"F04";4;100;77;22;27;1;0;1;13;23;17;5;1;3;4;52
"Site_f04_s07";"F04";4;100;92;29;0;0;50;7;15;27;27;0;11;5;0;64
"Site_f04_s08";"F04";4;100;86;12;0;35;37;8;16;18;2;0;0;3;1;59
"Site_f04_s09";"F04";4;100;77;0;0;0;0;8;12;11;20;0;4;1;5;65
"Site_f04_s10";"F04";4;100;70;0;2;18;0;0;0;0;36;4;0;6;2;40
"Site_f05_s01";"F05";5;100;77;1;0;0;0;5;0;17;12;0;1;9;3;69
"Site_f05_s02";"F05";5;100;79;0;22;0;0;21;4;13;0;8;5;8;8;69
"Site_f05_s03";"F05";5;100;81;32;0;35;0;15;7;16;0;0;2;0;1;55
"Site_f05_s04";"F05";5;100;80;32;0;14;0;8;17;6;11;0;1;0;0;71
"Site_f05_s05";"F05";5;100;94;16;0;69;0;22;19;12;0;0;0;4;8;73
"Site_f05_s06";"F05";5;100;86;0;0;46;29;0;1;6;16;1;0;0;0;63
"Site_f05_s07";"F05";5;100;86;51;0;25;0;8;11;16;10;0;7;3;0;68
"Site_f05_s08";"F05";5;100;79;0;0;29;15;4;13;6;0;1;3;0;1;61
"Site_f05_s09";"F05";5;100;97;25;0;37;0;23;18;34;33;2;1;1;4;93
"Site_f05_s10";"F05";5;100;68;0;0;24;0;17;0;9;0;1;5;0;6;53
"Site_f06_s01";"F06";6;100;88;0;54;0;21;1;10;10;6;7;4;0;2;62
"Site_f06_s02";"F06";6;100;71;0;0;32;29;2;23;12;0;2;0;3;4;38
"Site_f06_s03";"F06";6;100;86;34;0;0;39;18;0;23;0;1;0;1;4;61
"Site_f06_s04";"F06";6;100;79;0;0;0;0;21;11;27;0;14;3;2;1;63
"Site_f06_s05";"F06";6;100;54;0;0;0;0;1;0;0;0;0;0;0;3;52
"Site_f06_s06";"F06";6;100;84;0;0;71;0;9;0;23;25;6;0;1;4;32
"Site_f06_s07";"F06";6;100;78;0;31;31;0;17;21;0;7;1;1;0;2;54
"Site_f06_s08";"F06";6;100;79;22;31;0;0;10;34;4;18;2;10;0;0;51
"Site_f06_s09";"F06";6;100;80;0;47;0;0;35;11;22;21;3;0;0;0;30
"Site_f06_s10";"F06";6;100;68;0;0;1;24;16;19;0;17;1;1;0;2;53
"Site_f07_s01";"F07";7;100;82;54;18;0;0;1;16;13;11;0;1;1;1;70
"Site_f07_s02";"F07";7;100;86;46;33;0;0;37;21;4;0;9;7;0;1;54
"Site_f07_s03";"F07";7;100;84;1;0;37;38;15;22;6;13;7;2;0;3;54
"Site_f07_s04";"F07";7;100;76;0;0;0;18;10;13;8;2;0;0;0;2;63
"Site_f07_s05";"F07";7;100;84;0;30;13;0;11;21;8;17;5;1;3;1;60
"Site_f07_s06";"F07";7;100;68;0;0;0;0;29;23;6;13;4;1;5;1;46
"Site_f07_s07";"F07";7;100;64;0;0;0;0;11;19;7;21;0;2;4;2;32
"Site_f07_s08";"F07";7;100;70;1;0;19;1;0;19;8;1;2;0;1;0;54
"Site_f07_s09";"F07";7;100;77;28;41;0;20;0;8;1;15;1;4;1;1;31
"Site_f07_s10";"F07";7;100;90;56;35;0;0;8;16;7;9;9;1;2;9;69
"Site_f08_s01";"F08";8;100;92;1;23;18;31;11;6;15;5;1;3;0;0;78
"Site_f08_s02";"F08";8;100;84;0;22;15;0;19;17;12;13;19;9;0;1;65
"Site_f08_s03";"F08";8;100;93;39;35;0;8;57;11;14;7;4;5;0;2;70
"Site_f08_s04";"F08";8;100;87;51;42;0;17;13;12;1;14;6;1;0;1;38
"Site_f08_s05";"F08";8;100;84;0;18;1;1;26;18;0;1;2;2;0;2;70
"Site_f08_s06";"F08";8;100;68;0;19;0;11;30;3;6;13;7;2;3;2;36
"Site_f08_s07";"F08";8;100;96;37;0;0;24;32;29;0;17;8;5;0;3;85
"Site_f08_s08";"F08";8;100;79;42;1;0;18;29;13;0;20;0;1;0;0;44
"Site_f08_s09";"F08";8;100;95;0;32;0;1;27;31;0;14;0;5;2;2;92
