"SAMPLE_ID";"Formation_name";"form.nr";"Total";"num.with.colonies";"Species_01";"Species_02";"Species_03";"Species_04";"Species_05";"Species_06";"Species_07";"Species_08";"Species_09";"Species_10";"Species_11";"Species_12";"Species_Superspecies"
"Site_f01_s01";"F01";1;100;87;0;0;0;93;7;0;85;124;1;3;20;0;174
"Site_f01_s02";"F01";1;100;93;0;0;278;0;0;0;80;24;0;2;4;0;217
"Site_f01_s03";"F01";1;100;79;0;0;0;176;11;0;92;0;3;0;0;10;62
"Site_f01_s04";"F01";1;100;85;0;0;176;0;8;0;38;0;0;0;8;0;209
"Site_f01_s05";"F01";1;100;96;0;0;191;0;0;12;63;0;0;0;15;0;448
"Site_f01_s06";"F01";1;100;82;54;0;257;0;12;12;58;0;1;0;37;0;70
"Site_f01_s07";"F01";1;100;89;0;82;46;0;10;0;55;0;0;0;15;7;610
"Site_f01_s08";"F01";1;100;85;0;0;169;0;3;0;53;0;0;2;12;0;71
"Site_f01_s09";"F01";1;100;83;7;83;186;0;0;0;22;54;0;5;12;0;80
"Site_f01_s10";"F01";1;100;93;0;85;0;0;0;0;69;493;1;0;9;0;121
"Site_f02_s01";"F02";2;100;89;0;0;201;0;17;16;42;28;1;0;23;0;198
"Site_f02_s02";"F02";2;100;79;23;0;117;0;17;0;17;0;4;4;11;0;63
"Site_f02_s03";"F02";2;100;93;0;0;104;214;9;0;38;122;0;1;12;0;30
"Site_f02_s04";"F02";2;100;83;17;0;0;0;17;26;21;13;3;0;5;14;204
"Site_f02_s05";"F02";2;100;84;32;0;132;0;7;42;17;36;0;0;4;0;113
"Site_f02_s06";"F02";2;100;91;0;0;0;0;14;0;23;0;1;0;10;0;605
"Site_f02_s07";"F02";2;100;88;0;0;132;0;11;0;20;24;4;0;10;0;406
"Site_f02_s08";"F02";2;100;91;21;68;183;0;17;0;0;0;0;9;7;5;317
"Site_f02_s09";"F02";2;100;77;0;0;0;0;11;18;42;123;1;0;14;0;167
"Site_f02_s10";"F02";2;100;68;0;0;83;0;1;11;80;0;0;0;0;0;59
"Site_f03_s01";"F03";3;100;69;19;0;0;0;0;9;28;0;2;8;5;0;206
"Site_f03_s02";"F03";3;100;95;0;0;95;0;11;15;48;104;7;0;5;0;595
"Site_f03_s03";"F03";3;100;89;8;0;76;13;0;22;31;56;1;16;9;13;282
"Site_f03_s04";"F03";3;100;74;0;0;80;0;0;12;30;33;0;4;2;0;181
"Site_f03_s05";"F03";3;100;76;30;0;0;0;16;31;57;31;0;0;5;0;69
"Site_f03_s06";"F03";3;100;80;38;0;0;0;7;0;116;38;0;0;0;20;115
"Site_f03_s07";"F03";3;100;85;16;0;0;80;19;0;15;35;0;2;8;2;295
"Site_f03_s08";"F03";3;100;71;0;0;0;0;11;20;55;56;4;9;8;0;122
"Site_f03_s09";"F03";3;100;81;27;0;150;0;6;20;18;45;1;0;9;0;146
"Site_f03_s10";"F03";3;100;79;27;0;63;0;9;29;46;25;0;1;10;1;54
"Site_f04_s01";"F04";4;100;91;30;0;72;90;12;14;57;0;0;0;0;1;227
"Site_f04_s02";"F04";4;100;88;0;0;0;113;2;8;49;13;3;0;0;5;210
"Site_f04_s03";"F04";4;100;92;18;0;0;0;52;30;20;30;0;0;3;0;295
"Site_f04_s04";"F04";4;100;68;0;0;0;0;19;0;13;38;0;10;0;0;83
"Site_f04_s05";"F04";4;100;84;37;94;0;0;14;8;26;0;0;3;4;3;237
"Site_f04_s06";"F04";4;100;87;0;0;134;0;0;34;46;40;2;2;2;0;187
"Site_f04_s07";"F04";4;100;82;48;0;0;0;17;16;22;0;1;4;0;8;224
"Site_f04_s08";"F04";4;100;82;0;0;0;72;6;36;16;66;0;3;3;0;104
"Site_f04_s09";"F04";4;100;85;20;0;178;102;17;8;23;0;5;0;4;5;80
"Site_f04_s10";"F04";4;100;75;28;0;0;0;8;64;0;0;1;5;11;9;94
"Site_f05_s01";"F05";5;100;80;0;24;12;0;0;24;46;37;13;0;4;0;59
"Site_f05_s02";"F05";5;100;82;0;0;0;0;15;6;21;15;0;3;1;6;268
"Site_f05_s03";"F05";5;100;84;39;68;74;0;8;0;35;47;0;0;5;0;76
"Site_f05_s04";"F05";5;100;80;0;0;0;72;19;16;11;57;2;0;6;0;160
"Site_f05_s05";"F05";5;100;91;162;0;0;89;21;15;15;28;14;3;0;4;81
"Site_f05_s06";"F05";5;100;83;0;0;0;46;17;28;66;37;10;5;2;0;133
"Site_f05_s07";"F05";5;100;83;16;142;83;0;28;0;14;30;6;0;5;0;135
"Site_f05_s08";"F05";5;100;92;0;0;197;16;0;50;15;47;6;0;5;1;306
"Site_f05_s09";"F05";5;100;65;42;0;0;0;0;18;34;0;4;0;8;0;78
"Site_f05_s10";"F05";5;100;93;0;0;0;218;8;32;33;23;3;0;6;5;275
"Site_f06_s01";"F06";6;100;78;0;0;0;82;26;6;30;12;6;4;0;11;123
"Site_f06_s02";"F06";6;100;89;0;45;101;0;7;10;46;15;5;0;8;1;161
"Site_f06_s03";"F06";6;100;85;0;38;0;44;27;25;37;18;8;6;2;4;148
"Site_f06_s04";"F06";6;100;94;51;0;0;136;0;11;42;41;2;0;0;3;337
"Site_f06_s05";"F06";6;100;72;0;0;0;0;7;7;44;10;0;1;9;0;116
"Site_f06_s06";"F06";6;100;74;0;44;0;34;17;14;37;37;5;0;3;1;93
"Site_f06_s07";"F06";6;100;77;0;38;0;22;31;8;8;2;5;5;3;0;223
"Site_f06_s08";"F06";6;100;93;31;0;15;21;14;15;91;12;0;0;1;3;447
"Site_f06_s09";"F06";6;100;85;0;59;127;55;9;34;5;24;0;5;4;0;123
"Site_f06_s10";"F06";6;100;92;0;65;0;132;4;27;12;11;0;3;0;2;231
"Site_f07_s01";"F07";7;100;86;0;27;0;20;45;14;0;28;7;1;2;3;268
"Site_f07_s02";"F07";7;100;78;0;27;0;0;42;29;24;20;0;2;0;4;135
"Site_f07_s03";"F07";7;100;77;84;41;0;0;14;24;19;10;2;0;0;3;101
"Site_f07_s04";"F07";7;100;90;466;20;34;0;17;11;0;14;6;6;0;0;55
"Site_f07_s05";"F07";7;100;84;144;55;0;0;38;21;0;16;0;2;0;4;138
"Site_f07_s06";"F07";7;100;83;0;38;29;0;30;23;0;15;6;1;1;1;283
"Site_f07_s07";"F07";7;100;83;104;25;0;32;35;38;15;13;4;10;6;6;57
"Site_f07_s08";"F07";7;100;87;0;64;84;28;25;25;7;5;4;0;3;5;153
"Site_f07_s09";"F07";7;100;78;60;0;22;0;10;13;10;42;4;4;0;1;94
"Site_f07_s10";"F07";7;100;91;95;148;0;31;29;0;26;10;0;6;0;2;126
"Site_f08_s01";"F08";8;100;82;0;99;13;33;30;7;9;3;4;5;3;1;90
"Site_f08_s02";"F08";8;100;84;0;114;0;0;38;45;0;5;14;5;0;5;245
"Site_f08_s03";"F08";8;100;97;0;0;46;34;9;11;16;9;0;0;0;0;663
"Site_f08_s04";"F08";8;100;76;0;0;0;0;45;60;15;2;7;4;2;3;177
"Site_f08_s05";"F08";8;100;83;0;110;0;8;23;0;6;5;0;6;0;3;104
"Site_f08_s06";"F08";8;100;77;0;34;0;29;26;44;0;8;4;13;0;0;171
"Site_f08_s07";"F08";8;100;96;61;0;34;0;36;31;0;6;9;3;1;3;331
"Site_f08_s08";"F08";8;100;87;0;159;0;0;40;34;4;9;9;3;0;0;63
"Site_f08_s09";"F08";8;100;86;194;65;0;11;59;0;0;6;10;9;6;2;114
"Site_f08_s10";"F08";8;100;75;0;0;0;45;36;5;0;13;0;6;2;2;160
"Site_f09_s01";"F09";9;100;71;0;0;0;16;103;11;7;6;15;0;0;0;46
"Site_f09_s02";"F09";9;100;88;61;93;0;0;40;44;0;6;5;4;9;4;304
"Site_f09_s03";"F09";9;100;86;0;0;0;9;0;36;4;4;6;3;2;1;262
"Site_f09_s04";"F09";9;100;86;109;48;0;33;41;8;0;7;0;6;0;1;90
"Site_f09_s05";"F09";9;100;96;463;67;0;0;24;22;0;3;10;1;3;1;53
"Site_f09_s06";"F09";9;100;82;72;57;0;25;31;5;0;4;0;6;0;1;229
"Site_f09_s07";"F09";9;100;91;111;49;0;57;68;9;0;16;11;3;1;6;134
"Site_f09_s08";"F09";9;100;79;0;0;21;30;0;0;10;10;0;0;0;0;260
"Site_f09_s09";"F09";9;100;88;0;0;0;17;60;18;4;10;3;2;0;1;225
"Site_f09_s10";"F09";9;100;88;71;73;0;21;70;17;0;6;0;0;0;0;248
"Site_f10_s01";"F10";10;100;83;59;21;0;7;7;7;0;12;18;3;0;2;157
"Site_f10_s02";"F10";10;100;79;142;78;0;13;25;20;0;2;6;1;0;0;37
"Site_f10_s03";"F10";10;100;68;0;17;0;13;23;0;0;5;19;0;0;0;92
"Site_f10_s04";"F10";10;100;86;258;43;0;14;61;0;0;6;0;2;0;0;150
"Site_f10_s05";"F10";10;100;89;0;53;24;0;57;32;0;14;11;8;1;1;296
"Site_f10_s06";"F10";10;100;90;0;55;4;26;83;31;5;3;0;2;0;1;157
"Site_f10_s07";"F10";10;100;96;354;68;0;53;0;25;0;7;27;9;1;0;117
"Site_f10_s08";"F10";10;100;88;0;24;0;10;12;35;13;8;9;4;0;2;436
"Site_f10_s09";"F10";10;100;80;0;0;36;0;29;10;15;5;20;5;0;1;170
"Site_f10_s10";"F10";10;100;89;0;78;52;61;69;9;0;22;17;7;0;1;395
