"SAMPLE_ID";"Formation_name";"form.nr";"Total";"num.with.colonies";"Species_01";"Species_02";"Species_03";"Species_04";"Species_05";"Species_06";"Species_07";"Species_08";"Species_09";"Species_10";"Species_11";"Species_12";"Species_Superspecies"
"Site_f01_s01";"F01";1;100;90;0;0;62;0;3;0;33;0;0;0;2;0;78
"Site_f01_s02";"F01";1;100;94;13;0;85;0;0;24;64;28;1;1;3;0;71
"Site_f01_s03";"F01";1;100;91;21;0;51;0;4;0;24;0;0;0;10;0;78
"Site_f01_s04";"F01";1;100;79;0;0;55;0;7;0;19;0;2;5;9;0;41
"Site_f01_s05";"F01";1;100;82;0;0;57;0;10;0;24;13;0;4;13;0;55
"Site_f01_s06";"F01";1;100;93;0;0;39;0;11;0;37;50;0;0;7;0;84
"Site_f01_s07";"F01";1;100;82;25;0;56;0;5;19;50;0;1;0;5;0;28
"Site_f01_s08";"F01";1;100;94;0;0;46;0;10;14;35;44;0;3;12;0;75
"Site_f01_s09";"F01";1;100;88;9;0;60;0;3;0;27;46;0;0;5;0;67
"Site_f01_s10";"F01";1;100;84;0;0;56;0;2;0;20;36;0;0;6;6;43
"Site_f02_s01";"F02";2;100;65;0;0;0;0;0;0;28;0;0;0;9;14;44
"Site_f02_s02";"F02";2;100;91;35;0;54;47;1;12;36;0;0;0;9;3;72
"Site_f02_s03";"F02";2;100;83;0;0;47;0;17;0;29;0;0;0;0;0;68
"Site_f02_s04";"F02";2;100;79;0;0;0;0;7;13;19;0;5;0;14;0;75
"Site_f02_s05";"F02";2;100;82;11;28;45;0;7;0;23;15;0;0;0;0;50
"Site_f02_s06";"F02";2;100;88;0;25;0;0;9;25;13;27;1;4;0;0;79
"Site_f02_s07";"F02";2;100;81;11;0;64;0;3;8;41;0;0;1;8;0;56
"Site_f02_s08";"F02";2;100;88;0;0;0;0;0;17;50;16;0;17;4;0;60
"Site_f02_s09";"F02";2;100;87;18;0;72;0;6;0;30;0;0;0;6;4;43
"Site_f02_s10";"F02";2;100;82;20;0;46;0;6;0;26;0;0;3;1;0;68
"Site_f03_s01";"F03";3;100;86;0;0;0;0;19;8;20;22;0;0;0;3;78
"Site_f03_s02";"F03";3;100;64;0;0;0;0;6;24;30;0;0;1;6;0;37
"Site_f03_s03";"F03";3;100;71;0;0;30;0;8;0;21;0;3;3;3;0;53
"Site_f03_s04";"F03";3;100;73;0;0;0;0;10;10;21;0;0;0;3;0;69
"Site_f03_s05";"F03";3;100;87;22;0;64;0;10;10;20;0;0;6;9;12;59
"Site_f03_s06";"F03";3;100;63;22;0;0;0;5;10;0;20;0;0;0;1;51
"Site_f03_s07";"F03";3;100;94;35;39;0;33;6;22;41;25;1;5;6;0;62
"Site_f03_s08";"F03";3;100;86;15;42;36;0;5;15;33;23;0;0;0;0;45
"Site_f03_s09";"F03";3;100;70;19;0;40;0;4;16;24;0;0;3;2;0;37
